"","x"
"1884","40558"
"1885","40574"
"1886","40896"
"1887","40930"
"1888","40975"
"1889","41015"
"1890","41087"
"1891","41109"
"1892","41209"
"1893","41437"
"1894","41548"
"1895","41558"
"1896","41770"
"1897","41903"
"1898","41905"
"1899","42284"
"1900","42362"
"1901","42380"
"1902","42444"
"1903","42459"
"1904","42578"
"1905","42691"
"1906","43224"
"1907","43412"
"1908","43844"
"1909","43911"
"1910","43966"
"1911","44310"
"1912","44716"
"1913","44742"
"1914","44902"
"1915","44965"
"1916","45477"
"1917","45663"
"1918","45745"
"1919","45779"
"1920","46019"
"1921","46115"
"1922","46261"
"1923","46264"
"1924","46296"
"1925","46385"
"1926","46726"
"1927","47209"
"1928","47338"
"1929","47370"
"1930","47499"
"1931","47518"
"1932","47545"
"1933","47681"
"1934","47715"
"1935","47725"
"1936","47757"
"1937","47828"
"1938","47831"
"1939","47850"
"1940","47881"
"1941","47918"
"1942","47982"
"1943","48066"
"1944","48151"
"1945","48172"
"1946","48286"
"1947","48396"
"1948","48420"
"1949","48441"
"1950","48501"
"1951","48625"
"1952","48653"
"1953","48685"
"1954","48747"
"1955","48822"
"1956","48865"
"1957","49101"
"1958","49117"
"1959","49155"
"1960","49343"
"1961","49353"
"1962","49371"
"1963","49423"
"1964","49496"
"1965","49569"
"1966","49637"
"1967","49726"
"1968","49760"
"1969","49916"
"1970","49938"
"1971","49944"
"1972","50041"
"1973","50134"
"1974","50189"
"1975","50213"
"1976","50346"
"1977","50362"
"1978","50380"
"1979","50383"
"1980","50459"
"1981","50600"
"1982","50743"
"1983","50786"
"1984","50899"
"1985","51003"
"1986","51006"
"1987","51009"
"1988","51063"
"1989","51149"
"1990","51214"
"1991","51244"
"1992","51510"
"1993","51522"
"1994","51570"
"1995","51595"
"1996","51614"
"1997","51642"
"1998","51674"
"1999","51960"
"2000","52302"
